tourney_year_id,Classification
1877-540,Grand Slam
1878-540,Grand Slam
1879-540,Grand Slam
1880-540,Grand Slam
1881-540,Grand Slam
1881-560,Grand Slam
1882-540,Grand Slam
1882-560,Grand Slam
1883-540,Grand Slam
1883-560,Grand Slam
1884-540,Grand Slam
1884-560,Grand Slam
1885-540,Grand Slam
1885-560,Grand Slam
1886-540,Grand Slam
1886-560,Grand Slam
1887-540,Grand Slam
1887-560,Grand Slam
1888-540,Grand Slam
1888-560,Grand Slam
1889-540,Grand Slam
1889-560,Grand Slam
1890-540,Grand Slam
1890-560,Grand Slam
1891-540,Grand Slam
1891-560,Grand Slam
1892-540,Grand Slam
1892-560,Grand Slam
1893-540,Grand Slam
1893-560,Grand Slam
1894-540,Grand Slam
1894-560,Grand Slam
1895-540,Grand Slam
1895-560,Grand Slam
1896-540,Grand Slam
1896-560,Grand Slam
1897-540,Grand Slam
1897-560,Grand Slam
1898-540,Grand Slam
1898-560,Grand Slam
1899-540,Grand Slam
1899-560,Grand Slam
1900-540,Grand Slam
1900-560,Grand Slam
1901-540,Grand Slam
1901-560,Grand Slam
1902-540,Grand Slam
1902-560,Grand Slam
1903-540,Grand Slam
1903-560,Grand Slam
1904-540,Grand Slam
1904-560,Grand Slam
1905-540,Grand Slam
1905-560,Grand Slam
1905-580,Grand Slam
1906-540,Grand Slam
1906-560,Grand Slam
1906-580,Grand Slam
1907-540,Grand Slam
1907-580,Grand Slam
1907-560,Grand Slam
1908-540,Grand Slam
1908-560,Grand Slam
1908-580,Grand Slam
1909-540,Grand Slam
1909-560,Grand Slam
1909-580,Grand Slam
1910-580,Grand Slam
1910-540,Grand Slam
1910-560,Grand Slam
1911-540,Grand Slam
1911-560,Grand Slam
1911-580,Grand Slam
1912-540,Grand Slam
1912-560,Grand Slam
1912-580,Grand Slam
1913-540,Grand Slam
1913-560,Grand Slam
1913-580,Grand Slam
1914-540,Grand Slam
1914-560,Grand Slam
1914-580,Grand Slam
1915-580,Grand Slam
1915-560,Grand Slam
1916-560,Grand Slam
1917-560,Grand Slam
1918-560,Grand Slam
1919-540,Grand Slam
1919-560,Grand Slam
1919-580,Grand Slam
1920-580,Grand Slam
1920-540,Grand Slam
1920-560,Grand Slam
1921-540,Grand Slam
1921-560,Grand Slam
1921-580,Grand Slam
1922-540,Grand Slam
1922-560,Grand Slam
1922-580,Grand Slam
1923-540,Grand Slam
1923-580,Grand Slam
1923-560,Grand Slam
1924-580,Grand Slam
1924-540,Grand Slam
1924-560,Grand Slam
1925-580,Grand Slam
1925-520,Grand Slam
1925-540,Grand Slam
1925-560,Grand Slam
1926-580,Grand Slam
1926-520,Grand Slam
1926-540,Grand Slam
1926-560,Grand Slam
1927-580,Grand Slam
1927-520,Grand Slam
1927-540,Grand Slam
1927-560,Grand Slam
1928-580,Grand Slam
1928-520,Grand Slam
1928-540,Grand Slam
1928-560,Grand Slam
1929-580,Grand Slam
1929-520,Grand Slam
1929-540,Grand Slam
